 res3t,res3v,res3i,res2t,res2v,res2i,lit,liv,lii,res1t,res1v,res1i
 0,-0.00152587890625,-0.0006103515625,0,-0.001220703125,-7.62939453125E-05,0,-0.023193359375,0.00137329101563,0,0.0018310546875,-5.72204589844E-05
 0.666666666667,0.00732421875,0.000114440917969,0.666666666667,-0.0006103515625,-3.81469726563E-05,0.666666666667,-0.0228881835938,0.00131607055664,0.666666666667,0.00213623046875,-7.62939453125E-05
 1.33333333333,-0.003662109375,0.000324249267578,1.33333333333,-0.0006103515625,-3.81469726563E-05,1.33333333333,-0.0225830078125,0.0013542175293,1.33333333333,0.00244140625,-7.62939453125E-05
 2,0.0018310546875,0.000267028808594,2,-0.0006103515625,-7.62939453125E-05,2,-0.0228881835938,0.00139236450195,2,0.0018310546875,-7.62939453125E-05
 2.66666666667,0.0213623046875,0.000381469726563,2.66666666667,0,-5.72204589844E-05,2.66666666667,-0.023193359375,0.0013542175293,2.66666666667,0.00213623046875,-7.62939453125E-05
 3.33333333334,0.0265502929688,0.000381469726563,3.33333333333,0,-0.000114440917969,3.33333333333,-0.0222778320313,0.00137329101563,3.33333333334,0.00244140625,-5.72204589844E-05
 4,0.0393676757813,-0.000209808349609,4,-0.00030517578125,-0.000114440917969,4,-0.023193359375,0.00139236450195,4,0.00244140625,-7.62939453125E-05
 4.66666666667,0.0213623046875,0.000267028808594,4.66666666667,-0.0006103515625,-5.72204589844E-05,4.66666666667,-0.0222778320313,0.0013542175293,4.66666666667,0.0018310546875,-9.53674316406E-05
 5.33333333334,0.0274658203125,-0.000343322753906,5.33333333333,-0.001220703125,-7.62939453125E-05,5.33333333333,-0.023193359375,0.00139236450195,5.33333333334,0.00213623046875,-9.53674316406E-05
 6,0.182800292969,0.000400543212891,6,-0.00030517578125,-0.000114440917969,6,-0.023193359375,0.00154495239258,6,0.0018310546875,-5.72204589844E-05
 6.66666666667,0.253295898438,-0.000209808349609,6.66666666667,-0.00030517578125,-9.53674316406E-05,6.66666666667,-0.02197265625,0.00158309936523,6.66666666667,0.00244140625,-9.53674316406E-05
 7.33333333334,0.340270996094,0.000171661376953,7.33333333333,0.0006103515625,-9.53674316406E-05,7.33333333333,0.00152587890625,0.0123977661133,7.33333333334,0.00213623046875,-7.62939453125E-05
 8,0.508728027344,0.000495910644531,8,-0.00030517578125,-0.000114440917969,8,-0.001220703125,0.0105094909668,8,0.00244140625,-7.62939453125E-05
 8.66666666667,0.513610839844,-0.000457763671875,8.66666666667,-0.00030517578125,-5.72204589844E-05,8.66666666667,0.00152587890625,0.0118446350098,8.66666666667,0.00274658203125,-7.62939453125E-05
 9.33333333334,0.712890625,0.000495910644531,9.33333333333,0,-0.000114440917969,9.33333333333,0.0048828125,0.0134658813477,9.33333333334,0.025634765625,0
 10,0.704345703125,-0.000247955322266,10,0.0006103515625,-0.000152587890625,10,0.167846679688,0.0868797302246,10,0.0289916992188,0
 10.6666666667,0.4443359375,0,10.6666666667,0,-9.53674316406E-05,10.6666666667,0.238647460938,0.113945007324,10.6666666667,0.0302124023438,-1.90734863281E-05
 11.3333333333,0.431823730469,0.000514984130859,11.3333333333,0.0112915039063,-7.62939453125E-05,11.3333333333,0.314636230469,0.140171051025,11.3333333333,0.0296020507813,-1.90734863281E-05
 12,0.403137207031,-0.000457763671875,12,0.230712890625,3.81469726563E-05,12,0.432739257813,0.171165466309,12,0.0341796875,-1.90734863281E-05
 12.6666666667,0.557250976563,0.000267028808594,12.6666666667,0.335388183594,5.72204589844E-05,12.6666666667,0.624694824219,0.184593200684,12.6666666667,0.145568847656,0.000228881835938
